result,fighter,opponent,date,weight_class,method,type,kd_dif,str_dif,td_dif,sub_dif,td_avg_dif,td_def_dif,sub_avg_dif,slpm_dif,str_acc_dif,sapm_dif,str_def_dif,str_efc_dif,stance_win_ratio,win_perc_dif,win_strk_dif,lose_strk_dif,outlier,lof_outlier,kd_dif_pred,str_dif_pred,td_dif_pred,sub_dif_pred
win,Max Holloway,Arnold Allen,2023-04-15,Featherweight,U-DEC,Unanimous,0.0042097875104341,2.592348657776445,0.0031957046163765,-0.0087521302944049,-0.4690708760172615,0.2776534299151701,0.0,2.382163313843189,0.5562898018057932,1.2227417735154702,-0.1946808138369412,-0.00454,-1.880897177516757,-0.6668136048656139,-5.55923178969643,1.001956516068944,True,True,,,,
win,Edson Barboza,Billy Quarantillo,2023-04-15,Featherweight,KO/TKO,Knee,1.3500788545962257,0.0530213629621726,0.0031957046163765,-0.0087521302944049,-0.6316625650189321,0.5885608704767159,-1.1,-2.4351354398314453,-1.1793157666044374,-1.048464410263259,1.5462829954964872,0.00814,0.2322519901094404,-0.2955874886890792,-0.547693408402927,2.022101414754426,False,False,1.2576238,1.2576238,1.2576238,1.2576238
win,Azamat Murzakanov,Dustin Jacoby,2023-04-15,Light Heavyweight,U-DEC,Unanimous,1.3500788545962257,0.0898232078145533,0.0031957046163765,-0.0087521302944049,0.1981157098861457,0.795832497517746,0.0,-0.5596506385961384,0.8042334544358265,-0.5689875492433053,-0.1076326233702697,0.0039899999999999,1.1593393261852534,0.4963615591541944,0.5659817874400735,-1.0383332813020203,False,False,1.2906339,1.2906339,1.2906339,1.2906339
lose,Tanner Boser,Ion Cutelaba,2023-04-15,Light Heavyweight,KO/TKO,Punches,0.0042097875104341,-0.940628448052108,-0.3897530514819292,-0.0087521302944049,-2.661255372557028,-0.5514330782489513,0.0,-0.302477137423404,0.6389376860158047,-0.5122073946488368,1.023993852696459,0.00166,-1.880897177516757,0.1251354429776599,0.0091441895185732,-2.0584781799875027,False,False,-0.009113194,-0.009113194,-0.009113194,-0.009113194
win,Pedro Munhoz,Chris Gutierrez,2023-04-15,Bantamweight,U-DEC,Unanimous,1.3500788545962257,-0.646213689233062,0.0031957046163765,-0.0087521302944049,0.074770290643499,0.2431081587416654,0.5,0.331047828880161,-1.2619636508144485,1.9861194075077653,-0.6299217661702989,-0.00292,0.2322519901094404,-1.1617817597676598,-3.3318813980104287,2.022101414754426,True,False,,,,
win,Rafa Garcia,Clay Guida,2023-04-15,Lightweight,U-DEC,Unanimous,0.0042097875104341,2.8499615717431106,0.0031957046163765,-0.0087521302944049,0.2541818095418941,0.3467439722621807,-0.3,0.9645727951837264,0.7215855702258154,0.7621916306936722,-0.0205844329035982,-0.004,0.2322519901094404,-0.0481034112380562,0.0091441895185732,-0.0181883826165381,False,False,0.030479359,0.030479359,0.030479359,0.030479359
lose,TJ Brown,Bill Algeo,2023-04-15,Featherweight,SUB,Rear Naked Choke,-1.3416592795753577,-0.6830155340854428,0.0031957046163765,-0.8696924549470987,1.493242611933936,-0.6550688917694666,1.4,-1.4566216304912851,-0.6834284613443717,-0.7393280130267099,0.1535119480297443,0.0,1.607200685518856,-0.2460906731988746,0.5659817874400735,-1.0383332813020203,False,False,-1.2816392,-1.2816392,-1.2816392,-1.2816392
lose,Matheus Nicolau,Brandon Royval,2023-04-15,Flyweight,KO/TKO,Knee,-1.3416592795753577,-0.4254026201187774,0.0031957046163765,-0.0087521302944049,0.4616263782681637,1.866735903896403,-1.4,0.117781998639357,1.2174728754858817,0.3268771121360825,1.3721866145631452,0.00464,-1.880897177516757,0.471613151409092,1.1228193853615738,-0.0181883826165381,False,False,-1.3432401,-1.3432401,-1.3432401,-1.3432401
lose,Ed Herman,Zak Cummings,2023-04-15,Light Heavyweight,KO/TKO,Punches,-4.033397413746941,-1.713467189952104,0.0031957046163765,-0.0087521302944049,0.7531700964780559,-0.2405256376874058,0.4,0.2055973405032176,1.0521771070658597,0.509835388051591,-1.1522109089703276,-0.0053799999999999,-1.880897177516757,-0.3203358964341816,-0.547693408402927,1.001956516068944,True,False,,,,
win,Gillian Robertson,Piera Rodriguez,2023-04-15,Women's Strawweight,SUB,Armbar,0.0042097875104341,0.4946435011907417,0.3961444607146823,0.8521881943582889,-0.3793651165680639,-1.4150648575865776,1.0,-0.7290087979050124,0.2256982649657493,-0.1021285003554552,-0.6299217661702979,0.0,0.2322519901094404,-1.1122849442774552,-0.547693408402927,-0.0181883826165381,False,False,0.022497177,0.022497177,0.022497177,0.022497177
