,name,wins,losses,draws,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
0,Dylan Andrews,18,7,0,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,,2.83,50%,57%,0.4
1,Rafael Alves,20,1,-0,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",2.46,50%,4.14,58%,,0.41,25%,60%,1.2
2,Rayanne Amanda,11,6,0,"5' 2""",115 lbs.,"62""",Orthodox,"Jun 08, 1995",3.67,31%,6.87,57%,,1.00,25%,0%,0.0
3,Anthony Avila,13,5,0,"5' 7""",145 lbs.,--,,"Dec 29, 1988",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4,Arnold Allen,19,1,0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.40,42%,2.25,67%,,1.35,50%,76%,0.4
5,Marcus Aurelio,22,1,-0,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,,1.69,27%,27%,1.3
6,Collin Anglin,8,,-0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,,2.28,66%,100%,0.0
7,Houston Alexander,17,1,-1,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,,1.19,57%,33%,0.0
8,Ricardo Arona,14,5,0,"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,,2.41,48%,58%,1.2
9,Luiz Azeredo,15,1,-0,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,,1.07,50%,45%,0.3
10,Scott Askham,14,4,0,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,,0.44,18%,65%,0.7
11,Ben Askren,19,2,0,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,,4.33,55%,0%,0.9
12,Josh Appelt,15,7,0,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",1.35,40%,11.50,32%,,0.00,0%,33%,0.0
13,Sam Adkins,7,,0-2,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
14,Irina Alekseeva,4,,-0,"5' 8""",135 lbs.,--,,"Jun 27, 1990",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
15,Lucas Alexander,7,,-0,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",0.49,50%,1.97,50%,,0.00,0%,0%,0.0
16,Julio Arce,18,5,0,"5' 7""",135 lbs.,"70""",Southpaw,"Oct 27, 1989",4.74,37%,3.08,69%,,0.42,27%,94%,0.4
17,Israel Adesanya,23,1,0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",3.93,49%,2.67,59%,,0.00,0%,78%,0.2
18,Alex Andrade,10,5,0,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.20,36%,2.60,53%,,0.00,0%,25%,0.8
19,Danny Abbadi,4,,-0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,,0.00,0%,77%,0.0
